OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
1,33.80334216,-84.31081937,Atlanta Regional Office (VA Benefits),1700 Clairmont Road,,Atlanta,GA,30033,,,,,
2,33.61412314,-84.44688759,Atlanta Vet Center,1800 Phoenix Boulevard,,College Park,GA,30349,,,,,
3,33.77762645,-84.29373443,Decatur Clinic (VA),755 Commerce Drive,,Decatur,GA,30030,,,,,
4,33.95017334,-84.52393727,Marietta Vet Center,40 Dodd St.,,Marietta,GA,30060,,,,,
5,33.95199899,-84.53771859,Marietta National Cemetery,500 Washington Ave,,Marietta,GA,30060,,,,,
6,34.23281798,-84.58756764,Georgia National Cemetery,2025 Mount Carmel Church Ln,,Canton,GA,30114,,,,,
7,33.7129687,-84.42791384,Fort McPherson/East Point CBOC (VA),"1701 Hardee Ave., SW",,Atlanta,GA,30310,,,,,
8,34.20835701,-83.8930297,NE Georgia/Oakwood CBOC (VA),4175 Tanners Creek Drive,,Flowery Branch,GA,30542,,,,,
9,33.40145992,-84.71065527,Newnan CBOC (VA),39-A Oak Hill Court,,Newnan,GA,30265,,,,,
10,33.85432662,-84.61511482,Austell CBOC (VA),2041 Mesa Valley Way,,Austell,GA,30106,,,,,
11,33.58978413,-85.05725533,Trinka Davis Veterans Village (VA),180 Martin Dr,,Carrolton,GA,30117,,,,,
12,33.9697262,-84.03044742,Lawrenceville Vet Center,930 River Centre Place,,Lawerenceville,GA,30043,,,,,
13,34.22029726,-85.1548844,Rome CBOC (VA),"30 Chateau Dr., Se",,Rome,GA,30161,,,,,
14,34.86858232,-83.97969053,Blairsville CBOC (VA),1294 Highway 515 East,,Blairsville,GA,30512,,,,,
15,33.51192438,-84.22529815,Stockbridge CBOC (VA),175 Medical Blvd.,,Stockbridge,GA,30281,,,,,
858,34.06540133,-84.67819551,Acworth Library Branch,4569 Dallas Street,,Acworth,GA,30101,,,,,
859,33.70493833,-84.46244794,Adams Park Library Branch,"2231 Campbellton Road, S.W.",,Atlanta,GA,30311,,,,,
860,33.75549424,-84.50008232,Adamsville - Collier Heights Library Branch,"3424 M.L. King, Jr. Drive",,Atlanta,GA,30331,,,,,
861,34.08200277,-84.29755042,Alpharetta Library Branch,238 Canton Street,,Alpharetta,GA,30004,,,,,
