OBJECTID	LONGITUDE	LATITUDE	FACNAME	ADDRESS_1	ADDRESS_2	CITY	STATE	ZIP	AREACODE	PHONE	FIPS	COUNTY	TYPE	METHOD
6558	-84.57031271	34.09653484	Carmel Elementary School	2275 Bascomb-Carmel Road		Woodstock	Georgia	30189	770	926-1237	13057	Cherokee	Elementary School	Local
6559	-84.50146501	34.23670194	Canton Elementary School	712 Marietta Highway		Canton	Georgia	30114	770	479-3221	13057	Cherokee	Elementary School	Local
6560	-84.47301481	34.10614403	Little River Elementary School	3170 Trickum Road		Woodstock	Georgia	30188	770	926-7566	13057	Cherokee	Elementary School	Local
6561	-84.56088297	34.11690912	Booth Middle School	6550 Putnam Ford Drive		Woodstock	Georgia	30189	770	926-5707	13057	Cherokee	Middle School	Local
6562	-84.4935223	34.131672	Johnston Elementary School	2031 East Cherokee Drive		Woodstock	Georgia	30188	770	928-2910	13057	Cherokee	Elementary School	Local
6563	-84.42654378	34.171791	Rusk Middle School	4695 Hickory Road		Canton	Georgia	30115	770	345-2832	13057	Cherokee	Middle School	Local
6564	-84.58989749	34.13044743	Boston Elementary School	105 Othello Drive		Woodstock	Georgia	30189	770	924-6260	13057	Cherokee	Elementary School	Local
6565	-84.40669281	34.13896933	Mountain Road Elementary School	615 Mountain Road		Woodstock	Georgia	30188	770	664-9708	13057	Cherokee	Elementary School	Local
6566	-84.55395499	34.17264944	Sixes Elementary School	20 Ridge Road		Canton	Georgia	30114	770	345-3070	13057	Cherokee	Elementary School	Local
6567	-84.57775893	34.13080607	Bascomb Elementary School	1335 Wyngate Parkway		Woodstock	Georgia	30189	770	592-1091	13057	Cherokee	Elementary School	Local
6568	-84.52928911	34.33879476	R. M. Moore Elementary School	1375 Puckett Road		Waleska	Georgia	30183	770	479-3798	13057	Cherokee	Elementary School	Local
6569	-84.47195425	34.17251979	Holly Springs Elementary School	1965 Hickory Rd.		Canton	Georgia	30115	770	345-5035	13057	Cherokee	Elementary School	Local
6570	-84.56045503	34.11404426	Chapman Intermediate School	6500 Putnam Ford Road		Woodstock	Georgia	30189	770	926-6424	13057	Cherokee	Middle School	Local
6571	-84.52098048	34.21605304	Teasley Middle School	8871 Knox Bridge Highway		Canton	Georgia	30114	770	479-7077	13057	Cherokee	Middle School	Local
6572	-84.49028792	34.2606696	Ralph Bunche Center	400 Belletta Drive		Canton	Georgia	30114	770	479-4744	13057	Cherokee	Elementary School	Local
6573	-84.54179379	34.1010438	Woodstock Middle School	2000 Towne Lake Hills South Dr		Woodstock	Georgia	30189	770	592-3516	13057	Cherokee	Middle School	Local
6574	-84.43815653	34.10811224	Arnold Mill Elementary School	710 Arnold Mill Road		Woodstock	Georgia	30188	770	592-3510	13057	Cherokee	Elementary School	Local
6575	-84.37691517	34.34097277	Ball Ground Elementary School	480 Old Canton Road		Ball Ground	Georgia	30107	770	735-3366	13057	Cherokee	Elementary School	Local
6576	-84.48931137	34.33228674	Clayton Elementary School	221 Upper Burris Road		Canton	Georgia	30114	770	479-2550	13057	Cherokee	Elementary School	Local
6577	-84.48433659	34.25085826	Tippens Elementary School	8 Glenwood Street		Canton	Georgia	30114	770	479-2645	13057	Cherokee	Elementary School	Local
6578	-84.41573372	34.2400017	Buffington Elementary School	4568 Cumming Highway		Canton	Georgia	30114	770	479-3679	13057	Cherokee	Elementary School	Local
6579	-84.2896879	34.23918546	Free Home Elementary School	12525 Cumming Highway		Canton	Georgia	30115	770	887-5738	13057	Cherokee	Elementary School	Local
6580	-84.61210609	34.09609603	Oak Grove Elementary School	6118 Woodstock Road		Acworth	Georgia	30102	770	974-6682	13057	Cherokee	Elementary School	Local
6581	-84.42353053	34.17110449	Hickory Flat Elementary School	2755 East Cherokee Drive		Canton	Georgia	30115	770	345-6841	13057	Cherokee	Elementary School	Local
6582	-84.51706731	34.10405349	Woodstock Elementary School	8371 Main Street		Woodstock	Georgia	30188	770	926-6969	13057	Cherokee	Elementary School	Local
6583	-84.35755118	34.24972901	Macedonia Elementary School	10370 East Cherokee Drive		Canton	Georgia	30115	770	479-3429	13057	Cherokee	Elementary School	Local
6584	-84.00730153	34.0506783	Rock Springs Elementary School	888 Rock Springs Road		Lawrenceville	Georgia	30043	770	932-7474	13135	Gwinnett	Elementary School	Local
6585	-84.20315517	33.93970491	Edward Buchannan Elementary School	600 Beaver Ruin Road		Norcross	Georgia	30071	770	326-8000	13135	Gwinnett	Elementary School	Local
6586	-84.0352627	33.8228837	Centerville Elementary School	3115 Centerville Highway		Snellville	Georgia	30039	770	972-2220	13135	Gwinnett	Elementary School	Local
6587	-84.1138837	33.86079396	Trickum Middle School	948 Cole Drive		Lilburn	Georgia	30047	770	921-2705	13135	Gwinnett	Middle School	Local
6588	-84.06549809	33.8539468	Head Elementary School	1801 Hewatt Road		Lilburn	Georgia	30047	770	972-8050	13135	Gwinnett	Elementary School	Local
6589	-84.06202688	33.95325865	Benefield Elementary School	970 McElvaney Lane		Lawrenceville	Georgia	30044	770	962-3771	13135	Gwinnett	Elementary School	Local
6590	-84.18687407	33.97772233	Berkeley Lake Elementary School	4300 Berkeley Lake Road		Duluth	Georgia	30096	770	446-0947	13135	Gwinnett	Elementary School	Local
6591	-84.22868374	33.98460383	Pinckneyville Middle School	5440 West Jones Bridge Road		Norcross	Georgia	30092	770	263-0860	13135	Gwinnett	Middle School	Local
6592	-84.02008095	33.92819204	Richards Middle School	3555 Sugarloaf Parkway		Lawrenceville	Georgia	30044	770	995-7133	13135	Gwinnett	Middle School	Local
6593	-84.14783481	34.01763151	Chattahoochee Elementary School	2930 Albion Farm Road		Duluth	Georgia	30096	770	497-9907	13135	Gwinnett	Elementary School	Local
6594	-83.90243565	33.99985106	Dacula Elementary School	2500 Fence Road		Dacula	Georgia	30019	770	963-7174	13135	Gwinnett	Elementary School	Local
6595	-84.0225071	34.01828393	Walnut Grove Elementary School	75 Taylor Road		Suwanee	Georgia	30024	770	513-6892	13135	Gwinnett	Elementary School	Local
6596	-84.01781452	33.90205754	Craig Elementary School	1075 Rocky Road		Lawrenceville	Georgia	30044	770	978-5560	13135	Gwinnett	Elementary School	Local
6597	-83.85710932	33.94348911	Harbins Elementary School	3550 New Hope Road		Dacula	Georgia	30019	770	682-4270	13135	Gwinnett	Elementary School	Local
6598	-84.00836165	34.00073237	Creekland Middle School	170 Russell Road		Lawrenceville	Georgia	30043	770	338-4700	13135	Gwinnett	Middle School	Local
6599	-84.0083851	33.90748204	Alton C. Crews Middle School	1000 Old Snellville Highway		Lawrenceville	Georgia	30044	770	982-6940	13135	Gwinnett	Middle School	Local
6600	-83.93875865	34.03051008	Freeman's Mill Elementary School	2303 Old Peachtree Road		Lawrenceville	Georgia	30043	678	377-8955	13135	Gwinnett	Elementary School	Local
6601	-84.03176844	34.08608234	Lanier Middle School	918 Buford Highway		Buford	Georgia	30518	770	945-8419	13135	Gwinnett	Middle School	Local
