OBJECTID,UID,LONGITUDE,LATITUDE,FACNAME,FACTYPE,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,AREACODE,PHONE,CONTACT,TITLE,FIPS,NAME,TYPE,METHOD,PERMIT_NO_
1,081-011D(MSWL),-82.42973488,33.08876895,Jefferson County CR 138 MSWL,28.00000000,C.r. 138 W. Of Us Hwy 1,,Louisville,Georgia,30434,912.00000000,625-3332,,,13163,Jefferson,MSWL,GPS - dnr,
2,106-016D(MSWL),-84.85248832,32.48669442,"Columbus, Pine Grove MSWL",28.00000000,"Schatulga Road, Off Sr 22",,Columbus,Georgia,31993,706.00000000,571-4878,,,13215,Muscogee,MSWL,GPS - dnr,
3,6020190,-82.85520000,31.30897000,Pearson Elementary School,30.00000000,1001 King Street,,Pearson,Georgia,,0.00000000,,,,13003,Atkinson,Elementary School,Geocode,
4,6031050,-82.46249000,31.54437000,Bacon County Primary School,30.00000000,115 West Eighth Street,,Alma,Georgia,,0.00000000,,,,13005,Bacon,Elementary School,Geocode,
5,6033050,-82.45507000,31.53823000,Bacon County Elementary School,30.00000000,523 East 16th Street,,Alma,Georgia,,0.00000000,,,,13005,Bacon,Elementary School,Geocode,
6,6072050,-83.71638000,33.93201000,Bethlehem Elementary School,30.00000000,54 Star Street West,,Bethlehem,Georgia,,0.00000000,,,,13013,Barrow,Elementary School,Geocode,
7,6072052,-83.71481000,33.98965000,Winder-Barrow Middle School,31.00000000,163 King Street,,Winder,Georgia,,0.00000000,,,,13013,Barrow,Middle School,Geocode,
8,6080177,-84.93605000,34.37015000,Adairsville Elementary School,30.00000000,122 King Street,,Adairsville,Georgia,,0.00000000,,,,13015,Bartow,Elementary School,Geocode,
9,6081052,-84.80185000,34.19683000,Cloverleaf Elementary School,30.00000000,71 Felton Road,,Cartersville,Georgia,,0.00000000,,,,13015,Bartow,Elementary School,Geocode,
10,6100194,-83.25984000,31.21277000,Berrien Middle School,31.00000000,800 Tifton Road,,Nashville,Georgia,,0.00000000,,,,13019,Berrien,Middle School,Geocode,
11,6105050,-83.25721000,31.20010000,Berrien Primary School,30.00000000,810 South Dogwood Drive,,Nashville,Georgia,,0.00000000,,,,13019,Berrien,Elementary School,Geocode,
12,6160199,-81.81729000,32.39756000,Langston Chapel Elementary School,30.00000000,156 Langston Chapel Road,,Statesboro,Georgia,,0.00000000,,,,13031,Bulloch,Elementary School,Geocode,
