OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
858,34.06540132599207,-84.67819550565162,Acworth Library Branch,4569 Dallas Street,,Acworth,GA,30101,,,,,
859,33.70493833008834,-84.46244794191347,Adams Park Library Branch,"2231 Campbellton Road, S.W.",,Atlanta,GA,30311,,,,,
860,33.75549423587222,-84.50008231924693,Adamsville - Collier Heights Library Branch,"3424 M.L. King, Jr. Drive",,Atlanta,GA,30331,,,,,
861,34.08200277397708,-84.2975504243318,Alpharetta Library Branch,238 Canton Street,,Alpharetta,GA,30004,,,,,
862,33.757807173675815,-84.3884714809841,Atlanta-Fulton County Public Library System Central Library & Headquarters,1 Margaret Mitchell Square,,Atlanta,GA,30303,,,,,
863,33.75542908711276,-84.38409002902341,Auburn Avenue Research Library on African American Culture and History,"101 Auburn Avenue, N.E.",,Atlanta,GA,30303,,,,,
864,34.34050907729426,-84.37772664224696,Ball Ground Public Library,435 Old Canton Road,,Ball Ground,GA,30107,,,,,
865,33.777048549462734,-84.47502875081108,Bowen/Bankhead Branch,"2685 Donald Lee Hollowell Pkwy, NW",,Atlanta,GA,30318,,,,,
866,33.85694591338745,-84.33993840164419,Brookhaven Library Branch,1242 North Druid Hills Road,,Atlanta,GA,30319,,,,,
867,33.289485142581384,-84.45917119017349,Brooks Public Library,958 Highway 85 Connector,,Brooks,GA,30205,,,,,
868,33.838067446504,-84.3788124293589,Buckhead Library Branch,269 Buckhead Avenue,,Atlanta,GA,30305,,,,,
869,34.11047687676421,-83.99920164431092,Buford-Sugar Hill Library Branch,2100 Buford Highway,,Buford,GA,30518,,,,,
870,33.7006334419425,-84.39517914796829,Carver Homes Library Branch,215 Lakewood Way,,Atlanta,GA,30315,,,,,
871,33.81751412764237,-84.0505990688103,Centerville Branch,3025 Bethany Church Road,,Snellville,GA,30039,,,,,
872,33.88219845700985,-84.30931578966477,Chamblee Library Branch,4115 Clairmont Road,,Chamblee,GA,30341,,,,,
873,33.80561797461792,-84.239581265107,Clarkston Library Branch,951 North Indian Creek Drive,,Clarkston,GA,30021,,,,,
874,33.681223419332355,-84.3895589372504,Cleveland Library Branch,47 Cleveland Avenue,,Atlanta,GA,30315,,,,,
875,33.65553406967041,-84.44928011368967,College Park Library Branch,3647 Main Street,,College Park,GA,30337,,,,,
876,34.01635903309585,-84.00263223678127,Collins Hill Library Branch,455 Camp Perrin Road,,Lawrenceville,GA,30043,,,,,
