OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
1,33.80334215636407,-84.31081936658597,Atlanta Regional Office (VA Benefits),1700 Clairmont Road,,Atlanta,GA,30033,,,,,
2,33.61412313661157,-84.4468875876791,Atlanta Vet Center,1800 Phoenix Boulevard,,College Park,GA,30349,,,,,
3,33.777626448463934,-84.29373442703547,Decatur Clinic (VA),755 Commerce Drive,,Decatur,GA,30030,,,,,
4,33.95017334037385,-84.52393726737523,Marietta Vet Center,40 Dodd St.,,Marietta,GA,30060,,,,,
5,33.95199899388541,-84.53771858507912,Marietta National Cemetery,500 Washington Ave,,Marietta,GA,30060,,,,,
6,34.23281797962676,-84.58756763502254,Georgia National Cemetery,2025 Mount Carmel Church Ln,,Canton,GA,30114,,,,,
7,33.71296870468211,-84.42791384047808,Fort McPherson/East Point CBOC (VA),"1701 Hardee Ave., SW",,Atlanta,GA,30310,,,,,
8,34.20835700840098,-83.89302969992252,NE Georgia/Oakwood CBOC (VA),4175 Tanners Creek Drive,,Flowery Branch,GA,30542,,,,,
9,33.401459920103605,-84.7106552731708,Newnan CBOC (VA),39-A Oak Hill Court,,Newnan,GA,30265,,,,,
10,33.85432661985055,-84.61511482040572,Austell CBOC (VA),2041 Mesa Valley Way,,Austell,GA,30106,,,,,
11,33.58978412652493,-85.05725533022877,Trinka Davis Veterans Village (VA),180 Martin Dr,,Carrolton,GA,30117,,,,,
12,33.96972620026668,-84.03044741513281,Lawrenceville Vet Center,930 River Centre Place,,Lawerenceville,GA,30043,,,,,
13,34.22029725975682,-85.15488440236703,Rome CBOC (VA),"30 Chateau Dr., Se",,Rome,GA,30161,,,,,
14,34.868582322538145,-83.97969053358048,Blairsville CBOC (VA),1294 Highway 515 East,,Blairsville,GA,30512,,,,,
15,33.51192438269118,-84.22529815136835,Stockbridge CBOC (VA),175 Medical Blvd.,,Stockbridge,GA,30281,,,,,
16,34.062461193080196,-84.66066693060827,Acworth Community Health Center,4489 Acworth Industrial Drive,,Acworth,GA,30101,,,,,
17,33.76369658417855,-84.50962293622689,Adamsville Health Center,3700 Martin Luther King Jr. Dr. SW,,Atlanta,GA,30331,,,,,
18,33.756232722836614,-84.38005681004728,Aldredge Health Center,99 Jesse Hill  Jr. Drive,,Atanta,GA,30303,,,,,
19,33.77199752242501,-84.42782102932307,Asa G. Yancey Sr. Health Center,"1247 Donald Lee Hollowell Prkwy, NW",,Atlanta,GA,30318,,,,,
20,34.1785381855305,-84.50425634389353,Bethesda Community Clinic Inc,107 Mountain Broook Drive Suite 100,,Canton,GA,30115,,,,,
21,34.13071527682473,-83.98746174821042,Buford Public Health Clinic,2755 Sawnee Avenue NE,,Buford,GA,30518,,,,,
22,33.74141725163247,-84.39840884786423,Center for Black Womens Wellness,"477 Windsor Street, Suite 309",,Atlanta,GA,30312,,,,,
23,33.749125947019365,-84.38936378088493,Central Presbyterian - Central Outreach and Advocacy Center,201 South Washington Street SW,,Atlanta,GA,30303,,,,,
24,33.76165778617491,-84.37161916718014,Center for Health and Rehabilitation-Northeast Health Center,"265 Boulevard, NE",,Atlanta,GA,30308,,,,,
25,34.19181971232746,-84.49233612559914,Cherokee County Health Department-Administrative Offices,1219 Univeter Road,,Canton,GA,30115,,,,,
26,34.115241881774466,-84.51257325914827,Cherokee County Health Dept-Woodstock Health Center,7545 North Main Street,,Woodstock,GA,30188,,,,,
27,33.553209601236574,-84.35461462665779,Clayton County Board Of Health,1117 Battle Creek Road,,Jonesboro,GA,30236,,,,,
28,33.69072729372982,-84.26768783080428,Clifton Springs Health Center,3110 Clifton Springs Road,,Decatur,GA,30034,,,,,
29,33.912521412868614,-84.58223370547205,Cobb and Douglas Public Health -Adminsitrative offices,1650 County Services Parkway,,Marietta,GA,30008,,,,,
30,33.65092353122657,-84.45194855962552,College Park Regional Health Center,1920 John Wesley Ave.,,College Park,GA,30337,,,,,
31,33.801896446675926,-84.63941515685707,Community Health Center,"6289 Veterans Memorial Highway
Suite 12-C",,Austell,GA,30168,,,,,
32,33.788512954484304,-84.27915630224425,DeKalb County Board of Health Admin - Richardson Building,445 Winn Way,,Decatur,GA,30030,,,,,
33,33.79187156629786,-84.28358164609773,DeKalb Medical Center - Wellness on Wheels,2701 North Decatur Road,,Decatur,GA,30033,,,,,
34,33.74252311682477,-84.75186815171116,Douglas County Health Department,6770 Selman Drive,,Douglasville,GA,30134,,,,,
35,33.96600101823162,-84.40596942690638,East Cobb Health Center,4938 Lower Roswell Road,,Marietta,GA,30068,,,,,
36,33.74178196015663,-84.12381628126496,East DeKalb Health Center,2277 South Stone Mountain-Lithonia Rd,,Lithonia,GA,30058,,,,,
37,33.75602337693118,-84.38038429527518,Emma I Darnell Geriatrics Center - Grady Hospital,"80 Jesse Hill Jr. Drive, S.E., Ste 1H004",,Atlanta,GA,30303,,,,,
38,33.81071369108378,-84.47685689597012,Family Health Center at Bolton Village,"2011 Bolton Road, Suite 104",,Atlanta,GA,30318,,,,,
39,33.971158814744,-84.55218783444656,Family Health Center at Cobb,805 Campbell Hill Street,,Marietta,GA,30060,,,,,
40,33.80551679440407,-84.33575374817173,Emory Alzheimer's Disease Research Center,"Wesley Woods Outpatient Clinic
1821 Clifton Road",,Atlanta,GA,30329,,,,,
41,33.44761666033952,-84.45603636696472,Fayette County Health Department,"140 Stonewall Ave., West; Suite 107",,Fayetteville,GA,30214,,,,,
42,33.4498487757819,-84.50887858966792,Fayette Care Clinic,"1260 Highway 54 West, Suite 101",,Fayetteville,GA,30214,,,,,
43,33.92013833373636,-84.1659802051517,Four Corners Primary Care Center,"5030 Georgia Belle Court
Suite 2066",,Norcross,GA,30093,,,,,
44,33.756232722836614,-84.38005681004728,Fulton County Department of Health and Wellness,"99 Jesse Hill Jr. Drive, S.E.
Suite 409 A",,Atlanta,GA,30303,,,,,
45,33.77504883658298,-84.29677926797063,Georgia Charitable Care Network,"One West Court Square, Suite 750",,Decatur,GA,30030,,,,,
46,34.24735437471139,-84.48938245582787,Georgia Highlands Medical Services Inc,220 Oakside Lane,,Canton,GA,30114,,,,,
47,33.77334180332991,-84.42098952412107,Good Samaritan Health Center,1015 Donald Lee Hollowell Parkway,,Atlanta,GA,30318,,,,,
48,33.91410869745965,-84.55689056889838,Good Samaritan Health Center of Cobb,1605 Roberta Drive,,Marietta,GA,30008,,,,,
49,33.94167381416429,-84.1269738540658,Good Samaritan Health Center of Gwinnett,3700 Club Drive,,Lawrenceville,GA,30044,,,,,
50,33.58110156618204,-84.3375270276764,Good Shepherd Clinic,6392 Murphy Drive,,Morrow,GA,30260,,,,,
51,33.67962473093411,-84.44042717406711,Grady Health Center - East Point,1595 West Cleveland Avenue,,East Point,GA,30344,,,,,
52,33.82760178677847,-84.34687035876061,Grady Lindbergh Womens Health Center,"2695 Buford Highway NE, Suite 200",,Atlanta,GA,30324,,,,,
53,33.75167225925918,-84.38294364607304,"Grady Medical Clinic - Clinic Building-1J, 1K, 1L Areas","80 Jesse Hill Jr. Drive, S.E.",,Atlanta,GA,30303,,,,,
54,33.87142635482343,-84.30931882427006,Grady North DeKalb Health Center,3807 Clairmont Drive N.E.,,Chamblee,GA,30341,,,,,
55,33.71829952402044,-84.36836936117794,Grant Park Family Health Center,1340 Boulevard SE,,Atlanta,GA,30315,,,,,
56,33.955986143580844,-84.02982969205647,Gwinnett County Board of Health - East Metro Health District,2570 Riverside Parkway,,Lawrenceville,GA,30046,,,,,
57,33.85662489937579,-84.02901353626413,Gwinnett Community Clinic,"Heritage Eastside Medical Center
2160 Fountain Drive",,Snellville,GA,30078,,,,,
58,33.511852297859036,-84.22599485489093,Hands of Hope Medical Clinic,1010 Hospital Drive; Building B,,Stockbridge,GA,30281,,,,,
59,33.77395587246167,-84.35764480879499,Harriet Tubman Free Womens Clinic - The Open Door Community,910 Ponce de Leon Avenue,,Atlanta,GA,30306,,,,,
60,33.42433592988141,-84.16806265491152,Henry County Health Department- Administrative Offices,135 Henry Parkway,,McDonough,GA,30253,,,,,
61,33.954055121692306,-83.99686638073842,Hope Clinic,121 Langley Drive,,Lawrenceville,GA,30046,,,,,
62,33.75326635041836,-84.47232932718606,Health Education Assessment & Leadership (HEAL),"2600 Martin Luther King, Jr. Drive",,Atlanta,GA,30314,,,,,
63,33.74727361973544,-84.32669919545668,Kirkwood Family Medicine,"1863 Memorial Drive, SE",,Atlanta,GA,30317,,,,,
64,33.70351267490673,-84.3774981608322,Lakewood Health Center,1853 Jonesboro Road  S.E.,,Atlanta,GA,30315,,,,,
65,33.939911979907095,-83.98204525826787,Lawrenceville Health Center - East Metro Health District,"455 Grayson Highway , Suite 300",,Lawrenceville,GA,30046,,,,,
66,33.752994453391295,-84.38153123272792,Maloof Clinic at Grady Hospital,"56 Jesse Hill Jr. Drive, SE",,Atlanta,GA,30303,,,,,
67,33.912521412868614,-84.58223370547205,Marietta Health Center,1650 County Services Parkway,,Marietta,GA,30008,,,,,
68,33.997174666184435,-84.35172290982467,Mary Hall Freedom House,200 Hanover Park Road,,Atlanta,GA,30350,,,,,
69,33.67965343589913,-84.43811708117886,Morehouse School of Medicine - Comprehensive Family Healthcare Ctr,"1513 East Cleveland Ave, Building 500",,East Point,GA,30344,,,,,
70,33.75920149214397,-84.41006312596636,Neighborhood Union Health Center,186 Sunset Avenue. N.W.,,Atlanta,GA,30314,,,,,
71,33.92013833373636,-84.1659802051517,Norcross Public Health Clinic,5030 Georgia Belle Court,,Norcross,GA,30093,,,,,
72,33.87142635482343,-84.30931882427006,North DeKalb Health Center,3807 Clairmont Road NE,,Chamblee,GA,30341,,,,,
73,34.058719327829635,-84.26625829828754,North Fulton  Regional Health Center,"3155 Royal Drive, Suite 125",,Alpharetta,GA,30022,,,,,
74,33.96656553198278,-84.36249273627817,North Fulton Government Service  Center,7741 Roswell Road,,Sandy Springs,GA,30350,,,,,
75,33.73941212009254,-84.28821350113742,Oakhurst Medical Center - Decatur,1760 Candler Road,,Decatur,GA,30032,,,,,
76,33.799644889140154,-84.21213907217361,Oakhurst Medical Center - Stone Mountain,770 Village Square Drive,,Stone Mountain,GA,30083,,,,,
77,33.52561326395437,-84.66399612591454,"Palmetto Health Council, Inc. - Corporate Office",643 Main Street,,Palmetto,GA,30268,,,,,
78,33.9385124958892,-84.23604248274148,Redeemer's Medical Center,"6760 Jimmy Carter Blvd.
Suite 100",,Norcross,GA,30071,,,,,
79,33.664258917008,-84.02490420581086,Rockdale County Health Dept,"985 Taylor Street, SW",,Conyers,GA,30012,,,,,
80,33.861619702440294,-84.51938047637788,Smyrna Community Health Center - WIC Services Only,"3830 South Cobb Drive, Ste. 200",,Smyrna,GA,30080,,,,,
81,33.70552641265397,-84.10903666173391,South DeKalb Center for Healthy Living,2699 Klondike Road,,Lithonia,GA,30058,,,,,
82,33.89842237872489,-84.20113740533924,Southside Medical - Norcross Clinic,"5127 Jimmy Carter Blvd., Suite 205",,Norcross,GA,30093,,,,,
83,33.72639282809871,-84.3920338128591,Southside Medical Center,"1046 Ridge Avenue, S.W.",,Atlanta,GA,30315,,,,,
84,33.712777314890786,-84.310344142497,Southside Medical Center - Gresham,2578 Gresham Road,,Atlanta,GA,30316,,,,,
85,33.74749186366307,-84.394236136693,St Josephs Mercy Care Services Clinic 24/7 Gateway,"275 Pryor Street, SW",,Atlanta,GA,30303,,,,,
86,33.765174578932374,-84.39277328816888,St Josephs Mercy Care Services Clinic at Atlanta Union Mission,"156 Mills Street, NW",,Atlanta,GA,30313,,,,,
87,33.78475666174734,-84.40796850641328,St Josephs Mercy Care Services Clinic at Atlanta Women/Children Day Shelter,"655 Ethel Street, NW",,Atlanta,GA,30318,,,,,
88,33.76603751980048,-84.38425155695398,St Josephs Mercy Care Services Clinic at Saint Luke's Episcopal Church,420 Courtland Street,,Atlanta,GA,30308,,,,,
89,33.749125947019365,-84.38936378088493,St Josephs Mercy Care Services Clinic at the Central Presbyterian Church,201 Washington Street SW,,Atlanta,GA,30303,,,,,
90,33.75063844321039,-84.37466678614396,St Josephs Mercy Care Services Clinic Downtown,424 Decatur Street,,Atlanta,GA,30312,,,,,
91,33.84374060675333,-84.32761072983175,St Josephs Mercy Care Services- Northeast Shopping Plaza,3367 Buford Highway Suite 910,,Atlanta,GA,30329,,,,,
92,33.78838657435733,-84.27947461298982,T.O. Vinson Health Center,440 Winn Way,,Decatur,GA,30030,,,,,
93,33.729911264378075,-84.89898587079136,Tanner Immediate Care,101 Quartz Drive Suite 101,,Villa Rica,GA,30180,,,,,
94,33.736926947904294,-84.41590475311273,West End Medical Centers at West Lake,868 York Avenue,,Atlanta,GA,30310,,,,,
95,33.52561326395437,-84.66399612591454,Your Town Health,643 Main Street,,Palmetto,GA,30268,,,,,
96,33.91444311789718,-84.36216902819586,Agape Hospice,5825 Glenridge Drive,,Atlanta,GA,30328,,,,,
97,33.54676886844908,-84.23422965373402,Amicasa Hospice Home Care,"157 Burke Street
Suite 119",,Stockbridge,GA,30281,,,,,
98,33.415844348378414,-84.17243754609831,Angelles Hospice and Palliatice Care Inc,2030 Avalon Parkway; Suite 435,,McDonough,GA,30253,,,,,
99,33.930209348702135,-84.3493296839514,AseraCare Hospice,"1117 Perimeter Center West
Suite 500 North",,Atlanta,GA,30338,,,,,
100,33.84010069357532,-84.23955955094732,Crossroads Hospice of Atlanta,"1957 Lakeside  Parkway
Suite 500",,Tucker,GA,30084,,,,,
101,33.60501514675275,-84.47159680748535,Divine Hospice,"5532 Old National Highway
Building G; Suite 275",,College Park,GA,30349,,,,,
102,33.9118601999906,-84.35284859622772,Embracing Hospice Care,5775 Peachtree Dunwoody Rd # D 580,,Atlanta,GA,30342,,,,,
103,33.85662489937579,-84.02901353626413,Embracing Hospice Care - Inpatient Snellville,2160 Fountain Drive,,Snellville,GA,30078,,,,,
104,33.97611753484506,-84.21427663416802,Evercare Hospice and Palliative Care,"3720 DaVinci Court
Suite 400",,Norcross,GA,30092,,,,,
105,33.541509084240204,-84.38665005844723,"Christian Ministries Hospice, Inc. - Riverdale",125 Highway 138 SW,,Riverdale,GA,30274,,,,,
106,33.92106746761198,-84.31097049014107,Compassionate Care Hospice,Five Dunwoody Park,,Atlanta,GA,30338,,,,,
107,33.72214833702208,-84.50820048131607,"First Quality Healthcare, Inc.",920 Dannon View,,Atlanta,GA,30331,,,,,
108,33.447331125102096,-84.46375266656685,Harbor Grace Hospice,500 Lanier Avenue West #401,,Fayetteville,GA,30214,,,,,
109,33.76322788936511,-84.3741869548665,Harbor Grace Hospice - Inpatient,320 Parkway Drive;  4th Floor,,Atlanta,GA,30312,,,,,
110,33.505603151778246,-84.22044994948624,Heartland Hospice - Stockbridge,827 Fairways Court Suite 200,,Stockbridge,GA,30281,,,,,
111,34.03080084128021,-84.52947381372627,Heritage Hospice,3315 Hilltop Drive,,Marietta,GA,30066,,,,,
112,34.04580339867232,-84.36135336656753,Homestead Hospice and Palliative Care,10888 Crabapple Road,,Roswell,GA,30075,,,,,
113,33.83845289707699,-84.24757236441349,Hospice Advantage - Atlanta,100 Crescent Center Pkwy; Ste 220,,Tucker,GA,30084,,,,,
114,34.03568901148799,-84.5653068697788,Hospice Advantage - Kennesaw,300 Chastain Center Blvd Suite 345,,Kennesaw,GA,30144,,,,,
115,33.44817020226276,-84.47910877787604,Hospice Advantage- Fayetteville,"101 Yorktown Drive
Suite 223",,Fayetteville,GA,30214,,,,,
116,33.84798968547682,-84.34094230874086,Hospice Atlanta - VNHS,1244 Park Vista Drive,,Atlanta,GA,30319,,,,,
117,33.93631282622431,-84.33814208515452,Journey Hospice of Atlanta LLC,4800 Ashford Dunwoody Rd; Suite 150,,Atlanta,GA,30338,,,,,
118,33.93632572156508,-84.01773045423869,"MeSun Health Services, Inc.",88 Johnson Road SW,,Lawrenceville,GA,30046,,,,,
119,33.95000645166533,-84.41440765558161,Metropolitan Hospice,200 Village Parkway,,Marietta,GA,30067,,,,,
120,33.67950471086078,-83.99489325719043,New Century Hospice,1374 Manchester Drive,,Conyers,GA,30013,,,,,
121,33.85337078008672,-84.24949196062693,Odyssey Health Care,2302 Parklake Drive; Suite 150,,Atlanta,GA,30345,,,,,
122,34.001488015361815,-84.15796382644163,Peachtree Christian Hospice,"3430 Duluth Park Lane, N.W.",,Duluth,GA,30096,,,,,
123,34.03735618084687,-84.64712737240939,Regency Hospice,"3415 Old Hwy 41, Ste 790",,Kennesaw,GA,30144,,,,,
124,33.4875715945858,-84.19743933507885,Sacred Journey Hospice,138 Peach Drive,,McDonough,GA,30253,,,,,
125,33.41067610568484,-84.56507814947503,Serenity Hospice,23 Eastbrook Bend; Suite 205,,Peachtree City,GA,30269,,,,,
