OBJECTID,LONGITUDE,LATITUDE,POI_NAME,Address_1,Address_2,CITY,STATE,ZIP,RESERVED_1,RESERVED_2,RESERVED_3,COUNTY,POI_TYPE
16,34.062461193080196,-84.66066693060827,Acworth Community Health Center,4489 Acworth Industrial Drive,,Acworth,GA,30101,,,,,
17,33.76369658417855,-84.50962293622689,Adamsville Health Center,3700 Martin Luther King Jr. Dr. SW,,Atlanta,GA,30331,,,,,
18,33.756232722836614,-84.38005681004728,Aldredge Health Center,99 Jesse Hill  Jr. Drive,,Atanta,GA,30303,,,,,
19,33.77199752242501,-84.42782102932307,Asa G. Yancey Sr. Health Center,"1247 Donald Lee Hollowell Prkwy, NW",,Atlanta,GA,30318,,,,,
20,34.1785381855305,-84.50425634389353,Bethesda Community Clinic Inc,107 Mountain Broook Drive Suite 100,,Canton,GA,30115,,,,,
21,34.13071527682473,-83.98746174821042,Buford Public Health Clinic,2755 Sawnee Avenue NE,,Buford,GA,30518,,,,,
22,33.74141725163247,-84.39840884786423,Center for Black Womens Wellness,"477 Windsor Street, Suite 309",,Atlanta,GA,30312,,,,,
23,33.749125947019365,-84.38936378088493,Central Presbyterian - Central Outreach and Advocacy Center,201 South Washington Street SW,,Atlanta,GA,30303,,,,,
24,33.76165778617491,-84.37161916718014,Center for Health and Rehabilitation-Northeast Health Center,"265 Boulevard, NE",,Atlanta,GA,30308,,,,,
25,34.19181971232746,-84.49233612559914,Cherokee County Health Department-Administrative Offices,1219 Univeter Road,,Canton,GA,30115,,,,,
26,34.115241881774466,-84.51257325914827,Cherokee County Health Dept-Woodstock Health Center,7545 North Main Street,,Woodstock,GA,30188,,,,,
27,33.553209601236574,-84.35461462665779,Clayton County Board Of Health,1117 Battle Creek Road,,Jonesboro,GA,30236,,,,,
28,33.69072729372982,-84.26768783080428,Clifton Springs Health Center,3110 Clifton Springs Road,,Decatur,GA,30034,,,,,
29,33.912521412868614,-84.58223370547205,Cobb and Douglas Public Health -Adminsitrative offices,1650 County Services Parkway,,Marietta,GA,30008,,,,,
30,33.65092353122657,-84.45194855962552,College Park Regional Health Center,1920 John Wesley Ave.,,College Park,GA,30337,,,,,
31,33.801896446675926,-84.63941515685707,Community Health Center,"6289 Veterans Memorial Highway
Suite 12-C",,Austell,GA,30168,,,,,
32,33.788512954484304,-84.27915630224425,DeKalb County Board of Health Admin - Richardson Building,445 Winn Way,,Decatur,GA,30030,,,,,
33,33.79187156629786,-84.28358164609773,DeKalb Medical Center - Wellness on Wheels,2701 North Decatur Road,,Decatur,GA,30033,,,,,
34,33.74252311682477,-84.75186815171116,Douglas County Health Department,6770 Selman Drive,,Douglasville,GA,30134,,,,,
35,33.96600101823162,-84.40596942690638,East Cobb Health Center,4938 Lower Roswell Road,,Marietta,GA,30068,,,,,
36,33.74178196015663,-84.12381628126496,East DeKalb Health Center,2277 South Stone Mountain-Lithonia Rd,,Lithonia,GA,30058,,,,,
37,33.75602337693118,-84.38038429527518,Emma I Darnell Geriatrics Center - Grady Hospital,"80 Jesse Hill Jr. Drive, S.E., Ste 1H004",,Atlanta,GA,30303,,,,,
38,33.81071369108378,-84.47685689597012,Family Health Center at Bolton Village,"2011 Bolton Road, Suite 104",,Atlanta,GA,30318,,,,,
