OBJECTID	LONGITUDE	LATITUDE	FACNAME	ADDRESS_1	ADDRESS_2	CITY	STATE	ZIP	AREACODE	PHONE	FIPS	COUNTY	TYPE	METHOD
4757	-80.48059180851278	25.3746327414679	Abl Dade Juvenile Residential Facility	18500 Southwest 424th Street		Homestead	FL	33034			12086	Miami-Dade	Government Office	ArcGIS
4758	-80.58215909068785	25.394462749057777	Us Department Of The Interior	232 Ingraham Highway		Homestead	FL	33034			12086	Miami-Dade	Government Office	ArcGIS
4759	-80.53783089586962	25.403629080757	Children's Gallery & Arts Center	21400-21498 Ingraham Highway		Homestead	FL	33034			12086	Miami-Dade	Museum	ArcGIS
4760	-80.53783089586962	25.403629080757	Csd Martial Arts 1	21400-21498 Ingraham Highway		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
4761	-80.5056681930659	25.417879999611984	Redland Christian Migrant Association	19300-19498 Southwest 376th Terrace		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
4762	-80.34823997895832	25.434074561513402	U S Government Nuclear Regulatory Commission	Southwest 360th Street		Homestead	FL	33033			12086	Miami-Dade	Government Office	ArcGIS
4763	-80.47516726034755	25.440141796976118	Miami Community Charter School	35202 South Dixie Highway		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
4764	-80.49438819074251	25.440438168412797	Miami Community Charter School	18720 Southwest 352nd Street		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
4765	-80.47942637585248	25.44142999594945	Miami-Dade County Public Schools South Transportation Center	601-785 Southwest 3rd Avenue		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4766	-80.49331906938454	25.445096368581034	Small Wonders South	119 South Redland Road		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
4767	-80.4832736499185	25.44626090685485	South Florida Urban Ministries Branches Florida City	119 Southwest 5th Avenue		Florida City	FL	33034			12086	Miami-Dade	Place of Worship	ArcGIS
4768	-80.4832736499185	25.44626090685485	Florida City United Methodist Church Outreach Ministry	119 Southwest 5th Avenue		Florida City	FL	33034			12086	Miami-Dade	Place of Worship	ArcGIS
4769	-80.48398817057246	25.446767270823134	Apostolic Assembly	501-599 Southwest 1st Street		Florida City	FL	33034			12086	Miami-Dade	Place of Worship	ArcGIS
4770	-80.48529270386734	25.447042741859896	Kinderland4 Kids	35 Southwest 6th Avenue		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4771	-80.48120907640497	25.44770727101675	Aim High Christian Academy	330-398 West Palm Drive		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4772	-80.48093271098172	25.44771000124917	Bright Stars Academy	300-328 West Palm Drive		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4773	-80.48881818709137	25.44777091367596	Lawrence Academy	""		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4774	-80.48843364797666	25.4477727495219	State Of Florida	725 West Palm Drive		Homestead	FL	33034			12086	Miami-Dade	Government Office	ArcGIS
4775	-80.48836365046613	25.44777364390838	Universal Medical Center	725 West Palm Drive		Homestead	FL	33034			12086	Miami-Dade	Hospital/Polyclinic	ArcGIS
4776	-80.48752452765319	25.44777816291377	Lawrence Academy	701-725 West Palm Drive		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4777	-80.49023546015609	25.447856351121573	First Assembly Christian Academy	827-849 West Palm Drive		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4778	-80.47313907424198	25.448029108931706	World Crafts	250 East Palm Drive		Florida City	FL	33034			12086	Miami-Dade	Museum	ArcGIS
4779	-80.47313907424198	25.448029108931706	United Martial Arts Academy	250 East Palm Drive		Florida City	FL	33034			12086	Miami-Dade	School	ArcGIS
4780	-80.46057365025067	25.44828546834151	Corporate Academy South Senior High School	2351 Southeast 12th Avenue		Homestead	FL	33034			12086	Miami-Dade	School	ArcGIS
