ResourceAgencyNum	Longitude	Latitude	PublicName	PhysicalAddress1	PhysicalAddress2	PhysicalCity	MailingStateProvince	PhysicalPostalCode				PhysicalCounty	TaxonomyLevelName
7424669	-117.26746	34.12707	SB 5th Street - San Bernardino County Department of Veterans Affairs	175 W 5th Street	2nd Floor	San Bernardino	CA	92415				San Bernardino	Site
7424678	-116.429694	34.17536	Yucca Valley - San Bernardino County Department of Veterans Affairs	56359 Pima Trail		Yucca Valley	CA	92284				San Bernardino	Site
10630243	-117.035034	34.886956	Barstow - San Bernardino County Department of Veterans Affairs	100 E Veterans Pkway	Bldg 100-A	Barstow	CA	92311				San Bernardino	Site
7422498	-117.58128	34.09914	County of San Bernardino Department of Veterans Affairs	8575 Haven Ave		Rancho Cucamonga	CA	91730-9105				San Bernardino	Agency
10630241	-117.58128	34.09914	Rancho Cucamonga - San Bernardino County Department of Veterans Affairs	8575 Haven Ave		Rancho Cucamonga	CA	91730				San Bernardino	Site
7424675	-117.035034	34.886956	Home of California - San Bernardino County Department of Veterans Affairs	100 E Veterans Prkway	Building 100-A	Barstow	CA	92311				San Bernardino	Site
7424677	-116.047705	34.160333	Marine Base - San Bernardino County Department of Veterans Affairs	Village Center (MCAGCC)	Bldg 1551	Twentynine Palms	CA	92277				San Bernardino	Site
7424672	-117.2517	34.052166	Medical Center - US Department of Veterans Affairs	11201 Benton St		Loma Linda	CA	92357				San Bernardino	Site
7425006	-118.456	34.0533	New Directions	11303 Wilshire Blvd.	VA Bldg 116	Los Angeles	CA	90073				Los Angeles	Site
7422668	-118.456	34.0533	New Directions	11303 Wilshire Blvd.	VA Bldg 116	Los Angeles	CA	90073				Los Angeles	Agency
15755903	-117.3224	34.1231	Knowledge and Education for Your Success	906 Wilson St		San Bernardino	CA	92411				San Bernardino	Agency
12821247	-117.460923	34.079588	Project Life Impact	600 N D St		San Bernardino	CA	92402				San Bernardino	Agency
11547988	-117.2823	34.03242	United States Veterans Initiative	1001 E Cooley Dr		Colton	CA	92324				San Bernardino	Site
11547985	-117.325745	34.059486	United States Veterans Initiative	1001 E Cooley Dr	Ste 101	Colton	CA	92324				San Bernardino	Agency
15324410	-117.46168	34.09402	Veterans Partnering with Communities	16779 Spring St		Fontana	CA	92335				San Bernardino	Agency
15324417	-117.46168	34.09402	Veterans Partnering with Communities	16779 Spring St		Fontana	CA	92335				San Bernardino	Site
15755061	-117.291267	34.105445	Vision of Hope	323 W 7th Street	Ste B	San Bernardino	CA	92401				San Bernardino	Agency
15755072	-117.291267	34.105445	Vision of Hope	323 W 7th Street	Ste B	San Bernardino	CA	92401				San Bernardino	Site
7424976	-117.3661	34.4862	Crisis Walk-In Center - High Desert	16460 Victor St		Victorville	CA	92395				San Bernardino	Site
12359782	-116.429694	34.17536	Crisis Walk-In Center - Morongo Basin	55475 Santa Fe Trail		Yucca Valley	CA	92284				San Bernardino	Site
12359781	-117.377578	34.116042	Crisis Walk-In Center - Rialto	850 E Foothill Blvd		Rialto	CA	92376				San Bernardino	Site
7423701	-116.429694	34.17536	Crisis Walk-In Clinic -  County of San Bernardino Department of Behavioral Health	55475 Santa Fe Trail		Yucca Valley	CA	92284				San Bernardino	Site
11074899	-117.377578	34.116042	Crisis Walk-In Clinic - County of San Bernardino Department of Behavioral Health	850 E Foothill Blvd		Rialto	CA	92376				San Bernardino	Site
7422041	-117.616778	34.078004	Department of Rehabilitation Inland Empire District	3595 E Inland Empire Blvd Bldg 4	Ste 100	Ontario	CA	91764				San Bernardino	Agency
7423230	-117.291267	34.105445	Department of Rehabilitation Inland Empire District-San Bernardino Branch	464 W. 4th Street	Ste. 152	San Bernardino	CA	92401				San Bernardino	Site
7422203	-116.887874	34.244437	DOVES of Big Bear Valley	41943 Big Bear Blvd		Big Bear Lake	CA	92315				San Bernardino	Agency
7423476	-117.27721	34.24359	DOVES of Big Bear Valley - Rim Outreach Center	23332 Crestline Rd	Ste 6	Crestline	CA	92325				San Bernardino	Site
7423490	-117.27721	34.24359	Family Service Agency - Crestline Office	23406 Crest Forest Dr		Crestline	CA	92325				San Bernardino	Site
7423491	-117.46168	34.09402	Family Service Agency - Fontana Office	7993-F  N Sierra Ave		Fontana	CA	92335				San Bernardino	Site
7423492	-117.3001	34.1428	Family Service Agency - San Bernardino Office	1669 N E St		San Bernardino	CA	92405				San Bernardino	Site
7422217	-117.3001	34.1428	Family Service Agency of San Bernardino	1669 N E Street		San Bernardino	CA	92405				San Bernardino	Agency
7422226	-117.165208	34.064569	Family Service Association of Redlands	612 Lawton St		Redlands	CA	92374				San Bernardino	Agency
7423503	-117.165208	34.064569	Family Service of Association of Redlands	612 Lawton St		Redlands	CA	92374				San Bernardino	Site
7423318	-117.46168	34.09402	Fontana - Goodwill Industries of Inland Empire	8270 Sierra Ave		Fontana	CA	92335				San Bernardino	Site
7422092	-117.3661	34.4862	Goodwill Southern California	16934 Bear Valley Rd		Victorville	CA	92395				San Bernardino	Agency
7422237	-117.29458	34.10588	Frazee Community Center	1140 W Mill St		San Bernardino	CA	92410				San Bernardino	Agency
7423037	-117.291267	34.105445	FSA - Center for Family and Community Services	472 N Arrowhead Ave		San Bernardino	CA	92401				San Bernardino	Agency
7425493	-117.291267	34.105445	FSA - Center for Family and Community Services	472 N Arrowhead Ave		San Bernardino	CA	92401				San Bernardino	Site
9678655	-117.256661	34.14753	FSA - Center for Family and Community Services - Garden Drive Apartment	7207 Garden Dr.		San Bernardino	CA	92404				San Bernardino	Site
9679194	-117.321557	34.05933	FSA - Center for Family and Community Services - Grand Terrance	22627 Grand Terrace Rd		Grand Terrace	CA	92313				San Bernardino	Site
9679420	-117.3224	34.1231	FSA - Center for Family and Community Services - Home of Neighborly Service	839 N. Vernon Ave		San Bernardino	CA	92411				San Bernardino	Site
9679504	-116.295241	34.158983	FSA - Center for Family and Community Services - Joshua tree	6171 Sunburst		Joshua Tree	CA	92252				San Bernardino	Site
9678669	-117.3001	34.1428	FSA - Center for Family and Community Services - San Bernardino	2969 N. Flores		San Bernardino	CA	92405				San Bernardino	Site
9680078	-116.047705	34.160333	FSA - Center for Family and Community Services - Twentynine Palms	6539 Adobe Rd		Twentynine Palms	CA	92277				San Bernardino	Site
9678650	-116.429694	34.17536	FSA - Center for Family and Community Services - Yucca Valley	7245 Joshua Tree Ln	Ste. A	Yucca Valley	CA	92284				San Bernardino	Site
9680247	-116.429694	34.17536	FSA - Center for Family and Community Services - Yucca Valley - 29 palms Hwy	57088 Twentynine Palms Hwy		Yucca Valley	CA	92284				San Bernardino	Site
7423346	-117.069163	33.627106	Help Hospitalized Veterans	36585 Penfield Lane		Winchester	CA	92596				Riverside	Site
10562407	-117.26746	34.12707	Helping Hands Food Pantry	1455 E 3rd Street		San Bernardino	CA	92415				San Bernardino	Site
7422956	-117.273243	34.080887	Helping Hands Pantry	1455 E Third St		San Bernardino	CA	92408				San Bernardino	Agency
10081988	-117.249056	34.050283	Helping Hands Pantry - Loma Linda	24583 Redlands Blvd		Loma Linda	CA	92354				San Bernardino	Site
7425376	-117.273243	34.080887	Helping Hands Pantry - SACHS  Norton	1455 E Third St		San Bernardino	CA	92408				San Bernardino	Site
7422221	-117.31839	34.510298	High Desert Homeless Services	14049 Amargosa Rd		Victorville	CA	92392				San Bernardino	Agency
7423497	-117.31839	34.510298	High Desert Homeless Services	14049 Amargosa Rd		Victorville	CA	92392				San Bernardino	Site
7425501	-117.58128	34.09914	HomeStrong USA	8711 Monroe Court	Ste. A	Rancho Cucamonga	CA	91730				San Bernardino	Site
7423045	-117.58128	34.09914	HomeStrong USA	8711 Monroe Court	Ste. A	Rancho Cucamonga	CA	91730				San Bernardino	Agency
7422233	-117.325745	34.059486	Inland Caregivers Resource Center	1430 E Cooley Dr	Ste 124	Colton	CA	92324				San Bernardino	Agency
7423515	-117.325745	34.059486	Inland Caregivers Resource Center	1430 E. Cooley Dr	Ste. 124	Colton	CA	92324				San Bernardino	Site
7422820	-117.330896	33.978417	Inland Counties Legal Services	1040 Iowa Ave	Ste 109	Riverside	CA	92507				Riverside	Agency
7425203	-117.58128	34.09914	Inland Counties Legal Services - Rancho Cucamonga	10565 Civic Center Dr		Rancho Cucamonga	CA	91730				San Bernardino	Site
7425204	-117.330896	33.978417	Inland Counties Legal Services - Riverside Housing Law Services Center	1040 Iowa Ave	Ste 109	Riverside	CA	92507				Riverside	Site
7425202	-117.291267	34.105445	Inland Counties Legal Services - San Bernardino Office	715 N. Arrowhead Ave	Ste 113	San Bernardino	CA	92401				San Bernardino	Site
7425201	-117.31839	34.510298	Inland Counties Legal Services - Victorville Office	14196 Amargosa Rd	Ste K	Victorville	CA	92392				San Bernardino	Site
7422206	-117.291267	34.105445	San Bernardino County Bar Association	555 N Arrowhead		San Bernardino	CA	92401				San Bernardino	Agency
7422227	-117.58128	34.09914	Inland Fair Housing and Mediation Board	10681 Foothill Blvd	Ste 101	Rancho Cucamonga	CA	91730				San Bernardino	Agency
7423507	-117.035034	34.886956	Inland Fair Housing and Mediation Board - Barstow	222 E Main St	Ste 211	Barstow	CA	92311				San Bernardino	Site
7423504	-117.58128	34.09914	Inland Fair Housing and Mediation Board - Main Office	10681 Foothill Blvd	Ste 101	Rancho Cucamonga	CA	91730				San Bernardino	Site
7423505	-117.291267	34.105445	Inland Fair Housing and Mediation Board - San Bernardino	560 N Arrowhead Ave	Ste 7-A	San Bernardino	CA	92401				San Bernardino	Site
7423506	-117.31839	34.510298	Inland Fair Housing and Mediation Board - Victorville	15928 Civic Dr	Ste 225	Victorville	CA	92392				San Bernardino	Site
7422239	-117.172087	34.048796	Inland Temporary Homes	26300 Mission Rd		Loma Linda	CA	92373				San Bernardino	Agency
7423521	-117.172087	34.048796	Inland Temporary Homes - Loma Linda	26300 Mission Rd		Loma Linda	CA	92373				San Bernardino	Site
7423522	-117.460923	34.079588	Inland Temporary Homes - San Bernardino	555 N D Street	Ste 170	San Bernardino	CA					San Bernardino	Site
7422241	-117.777676	34.068163	Inland Valley Hope Partners	1753 N Park Ave		Pomona	CA	91768				Los Angeles	Agency
7423524	-117.777676	34.068163	Inland Valley Hope Partners - Administration	1753 N Park Ave		Pomona	CA	91768				Los Angeles	Site
7423525	-117.777676	34.068163	Inland Valley Hope Partners - Beta	209 W Pearl St		Pomona	CA	91768				Los Angeles	Site
7423529	-117.717241	34.11306	Inland Valley Hope Partners - Claremont Center	660 N Mountain Ave		Claremont	CA	91711				Los Angeles	Site
7423527	-117.817521	34.101639	Inland Valley Hope Partners - San Dimas Center	110 E Third St		San Dimas	CA	91773				Los Angeles	Site
7423526	-117.606182	34.03412	Inland Valley Hope Partners - Sova Program Center	904 E California St		Ontario	CA	91761				San Bernardino	Site
7422758	-117.761853	34.041742	Inland Valley Humane Society and S.P.C.A	500 Humane Way		Pomona	CA	91766				Los Angeles	Agency
7425122	-117.761853	34.041742	Inland Valley Humane Society and S.P.C.A.	500 Humane Way		Pomona	CA	91766				Los Angeles	Site
7423546	-117.035034	34.886956	Legal Aid Society Community Center - Barstow Clinic	851 Barstow Rd		Barstow	CA	92311				San Bernardino	Site
7423544	-116.050757	33.553183	Legal Aid Society Community Center - Joshua Tree	6171 Sunburst Ave		Joshua Tree	CA	92254				San Bernardino	Site
7422249	-117.291267	34.105445	Legal Aid Society of San Bernardino	588 W 6th St		San Bernardino	CA	92401				San Bernardino	Agency
7423542	-117.68462	34.015499	Legal Aid Society of San Bernardino - Chino Clinic	5201 D Street		Chino	CA	91710				San Bernardino	Site
7423545	-117.58128	34.09914	Legal Aid Society of San Bernardino - Rancho Cucamonga Clinic	9791 Arrow Rte		Rancho Cucamonga	CA	91730				San Bernardino	Site
7423541	-117.291267	34.105445	Legal Aid Society of San Bernardino - San Bernardino Office	588 W 6th Street		San Bernardino	CA	92401				San Bernardino	Site
7423543	-117.31839	34.510298	Legal Aid Society of San Bernardino - Victorville Clinic	14874 S Mojave Dr		Victorville	CA	92392				San Bernardino	Site
7424805	-117.325745	34.059486	Mental Health Systems - Central Valley Calworks AOD Outreach	1076 Santo Antonio Dr	Ste H	Colton	CA	92324				San Bernardino	Site
7424806	-117.325745	34.059486	Mental Health Systems - Central Valley Regional Recovery Center	1076 Santro Antonio Dr	"Ste B, C, D"	Colton	CA	92324				San Bernardino	Site
7424802	-117.273243	34.080887	Mental Health Systems - Federal Probation Program	164 W Hospitality Ln		San Bernardino	CA	92408				San Bernardino	Site
7424799	-117.4612	34.1352	Mental Health Systems - Fontana Center For Change	7965 Sierra Ave	Ste L	Fontana	CA	92336				San Bernardino	Site
7424807	-117.4612	34.1352	Mental Health Systems - Fontana Regional Recovery Center	7993 Sierra Ave		Fontana		92336				San Bernardino	Site
7424809	-117.58128	34.09914	Mental Health Systems - Fotep Region IV/Vocational Services	9087 Arrow Rte	Ste 150	Rancho Cucamonga		91730				San Bernardino	Site
7424808	-117.325745	34.059486	Mental Health Systems - MHS TBS - San Bernardino	1430 E Cooley Dr	Ste 240	Colton		92324				San Bernardino	Site
7424804	-114.60472	34.831519	Mental Health Systems - Needles Center For Change	300 H Street		Needles		92363				San Bernardino	Site
7424800	-117.165208	34.064569	Mental Health Systems - Redlands Center For Change	802 W. Colton Ave	Ste C & D	Redlands		92374				San Bernardino	Site
7424801	-117.273243	34.080887	Mental Health Systems - San Bernardino Center For Change	1874 S Business Center Dr		San Bernardino		92408				San Bernardino	Site
7424803	-117.3001	34.1428	Mental Health Systems - San Bernardino DUI Program	2282 N Sierra Way		San Bernardino		92405				San Bernardino	Site
8658205	-117.616778	34.078004	Mental Health Systems - Strive Holistic Campus	316 E E Street		Ontario	CA	91764				San Bernardino	Site
7424798	-117.31839	34.510298	Mental Health Systems - Victor Valley Center For Change	15770 Mojave Dr	Ste K & L	Victorville		92392				San Bernardino	Site
8894675	-116.295241	34.158983	Morongo Basin Transit Authority	62405 Verbena Rd		Joshua Tree	CA	92252				San Bernardino	Agency
8894404	-116.887874	34.244437	Mountain Area Regional Transit Authority	41939 Fox Farm Rd		Big Bear Lake	CA	92315				San Bernardino	Agency
8894418	-116.887874	34.244437	Mountain Area Regional Transit Authority - Bear Bear Lake	41939 Fox Farm Rd		Big Bear Lake	CA	92315				San Bernardino	Site
8894421	-117.27721	34.24359	Mountain Area Regional Transit Authority - Crestline	621 Forest Shade Rd		Crestline	CA	92325				San Bernardino	Site
9032627	-114.60472	34.831519	Needles Area Transit	817 3rd Street		Needles	CA	92363				San Bernardino	Site
7422404	-117.3224	34.1231	Omnitrans	1700 W 5th Street		San Bernardino	CA	92411				San Bernardino	Agency
7422595	-117.307226	34.416478	Victor Valley Transit Authority	11741 E Santa Fe Ave		Hesperia	CA	92345				San Bernardino	Agency
7424923	-117.307226	34.416478	Victor Valley Transit Authority	11741 E Santa Fe Ave		Hesperia	CA	92345				San Bernardino	Site
7422520	-117.58128	34.09914	National Community Renaissance	9421 Haven Ave		Rancho Cucamonga	CA	91730				San Bernardino	Agency
7423689	-114.60472	34.831519	Needles Behavioral Health Center - County of San Bernardino Department of Behavioral Health	1600 Bailey Ave	Unit 2	Needles	CA	92363				San Bernardino	Site
7422733	-114.60472	34.831519	Needles Branch Library	1111 Bailey Ave		Needles	CA	92363				San Bernardino	Agency
7423723	-114.60472	34.831519	Needles CFS - San Bernardino County Children and Family Services	1090 E Broadway		Needles	CA	92363				San Bernardino	Site
7424756	-114.60472	34.831519	Needles Courthouse	1111 Bailey St		Needles	CA	92363				San Bernardino	Site
7423388	-114.60472	34.831519	Needles DMV	1040 E Broadway St		Needles	CA	92363				San Bernardino	Site
7424969	-114.60472	34.831519	Needles Senior Center	1699 Bailey		Needles	CA	92363				San Bernardino	Site
7424004	-117.035034	34.886956	Neighborhood Network Center - Barstow	932 Lassen Dr.		Barstow	CA	92311				San Bernardino	Site
9278645	-117.68462	34.015499	Neighborhood Network Center - Chino	13088 Monte Vista Ave		Chino	CA	91710				San Bernardino	Site
9278644	-117.2823	34.03242	Neighborhood Network Center - Colton	772 Pine St		Colton	CA	92324					Site
9278646	-117.29458	34.10588	Neighborhood Network Center - San Bernardino	425 Crestview Ave		San Bernardino	CA	92410				San Bernardino	Site
