ObjectId	Longitude	Latitude	Name	Address_1	Address_2	City	State	Zip	9	10	11	County	Type		
	-81.50579	30.270166	OSPREY FOUNTAIN	1 UNF DR		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.507342	30.272558	UNF OSPREY VILLAGE	1 UNF DR		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.536101	30.253159	AVENTINE APARTMENTS	10135 GATE PKWY		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.537973	30.256488	AVENTINE TOWN CENTER	10135 N GATE PKWY		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.827215	30.27677	NAPOLI'S MHP	10201 NORMANDY BLVD		JACKSONVILLE	FL	32221				Duval	APARTMENT		
	-81.679883	30.314258	PRESBYTERIAN APTS	1045 OAK ST		JACKSONVILLE	FL	32204				Duval	APARTMENT		
	-81.679862	30.31433	RIVERSIDE PRESBYTERIAN APTS	1045 OAK ST		JACKSONVILLE	FL	32204				Duval	APARTMENT		
	-81.694749	30.426661	KENDALL COURT APTS	10535 LEM TURNER RD		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.628166	30.186007	MANDARIN LANDING	10601 SAN JOSE BLVD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.534354	30.28682	COUNTRYSIDE VILLAGE MOBILE	10960 BEACH BLVD		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.695861	30.434711	MADISON WOODS APARTMENTS	10970 LEM TURNER RD		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.404072	30.307557	OCEAN OAKS	1100 SEAGATE AVE		NEPTUNE BEACH	FL	32266				Duval	APARTMENT		
	-81.659535	30.434182	ANSLEY APARTMENTS	11011 HARTS RD		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.660169	30.439954	RIVER OAKS APARTMENTS	11291 HARTS RD		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.391467	30.287063	PABLO TOWERS	115 3RD ST S		JACKSONVILLE BEACH	FL	32250				Duval	APARTMENT		
	-81.632986	30.452781	EASTPORT APTS	11701 PALM LAKE DR		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.751893	30.302405	DEERFIELD APTS	1171 LANE AVE S		JACKSONVILLE	FL	32205				Duval	APARTMENT		
	-81.731972	30.302451	EUREKA GARDEN APTS	1214 LABELLE ST		JACKSONVILLE	FL	32205				Duval	APARTMENT		
	-81.487991	30.319139	TIMBERWOOD TRACE APTS	12250 ATLANTIC BLVD		JACKSONVILLE	FL	32225				Duval	APARTMENT		
	-81.6618	30.339994	HOGAN CREEK TOWERS	1320 BROAD ST		JACKSONVILLE	FL	32202				Duval	APARTMENT		
	-81.668378	30.42982	PELICAN POINTE APARTMENTS	1333 DUNN AVE		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.663474	30.312108	BAPTIST TOWERS	1400 LEBARON AVE		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.756065	30.295356	CROSS CREEK APTS	1441 MANOTAK AVE		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.754046	30.293968	WICKSHIRE APTS	1570 LANE AVE S		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.755256	30.292024	CANTERBURY GARDENS APT	1591 LANE AVE S		JACKSONVILLE	FL	32210				Duval	APARTMENT		
	-81.573188	30.338872	EAGLE ROCK APARTMENTS	1600 LANSDOWNE DR		JACKSONVILLE	FL	32211				Duval	APARTMENT		
	-81.408716	30.285646	PABLO HAMLET APARTMENTS	1600 SHETTER AVE		JACKSONVILLE BEACH	FL	32250				Duval	APARTMENT		
	-81.672934	30.430475	NORTHWOOD APARTMENTS	1601 DUNN AVE		JACKSONVILLE	FL	32218				Duval	APARTMENT		
	-81.449778	30.318912	BANYON BAY APTS	1700 SAN PABLO RD S		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.688127	30.385776	ROSALIND VILLAS	1800 EDGEWOOD AVE W		JACKSONVILLE	FL	32208				Duval	APARTMENT		
	-81.489183	30.313055	PINEWOOD POINTE	1801 KERNAN BLVD S		JACKSONVILLE	FL	32217				Duval	APARTMENT		
	-81.687398	30.345408	CAMPUS TOWERS	1850 KINGS RD		JACKSONVILLE	FL	32209				Duval	APARTMENT		
	-81.591863	30.28799	GLENWOOD APARTMENTS	1920 DEAN RD		JACKSONVILLE	FL	32216				Duval	APARTMENT		
	-81.548786	30.310202	FOREST MEADOWS EAST APTS	1935 FOREST BLVD		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.395815	30.248984	BELLAZA AT PONTE VEDRA BEACH	200 BOARDWALK DR		PONTE VEDRA BEACH	FL	32082				St Johns	APARTMENT		
	-81.640867	30.284783	SABLE PALMS	2150 EMERSON ST		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.651162	30.33615	CENTENNIAL TOWERS	230 E 1ST ST		JACKSONVILLE	FL	32206				Duval	APARTMENT		
	-81.632167	30.300095	CANDLELIGHT SQUARE APTS	2441 SPRING PARK RD		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.601953	30.294622	LAUREL POINTE	3000 CORONET LN		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.491439	30.281812	NORTH BEACH APARTMENTS	3140 KERNAN LAKE CIR		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.605166	30.359025	HURLEY MANOR	3333 N UNIVERSITY BLVD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.605177	30.35907	HURLEY MANOR II	3335 N UNIVERSITY BLVD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.624086	30.175325	OASIS IN MANDARIN APTS	3355 CLAIRE LN		JACKSONVILLE	FL	32223				Duval	APARTMENT		
	-81.525681	30.308878	PINE MEADOWS	3451 SALAND WAY		JACKSONVILLE	FL	32246				Duval	APARTMENT		
	-81.637164	30.291819	JAX TOWNHOUSE	3465 PHILIPS HWY		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.606221	30.362143	RIVER BEND APARTMENTS	3500 UNIVERSITY BLVD N		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.577098	30.364374	EAGLES POINTE APARTMENTS	3501 TOWNSEND BLVD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.714279	30.310033	SUNDALE MANOR APARTMENTS	3505 CORBY ST		JACKSONVILLE	FL	32205				Duval	APARTMENT		
	-81.628339	30.302591	MAYFAIR VILLAGE APTS	3539 BEACH BLVD		JACKSONVILLE	FL	32207				Duval	APARTMENT		
	-81.491449	30.281794	THE DISTRICT STUDENT HOUSING APARTMENTS	3601 S KERNAN BLVD		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.46421	30.287541	NIGHTSCAPE CONDOS	3617 NIGHTSCAPE CIRCLE		JACKSONVILLE	FL	32224				Duval	APARTMENT		
	-81.707987	30.40443	CHRISTINE COVE APTS	3730 SOUTEL DR		JACKSONVILLE	FL	32208				Duval	APARTMENT		
	-81.596751	30.368272	PLAZA APARTMENTS	3780 UNIVERSITY CLUB BLVD		JACKSONVILLE	FL	32277				Duval	APARTMENT		
	-81.606907	30.168984	PADDOCK CLUB AT MANDARIN	3900 OLDFIELD CROSSING DR		JACKSONVILLE	FL	32223				Duval	APARTMENT		
	-81.614407	30.205716	MANDARIN LANAI APARTMENTS	3909 SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.612098	30.205756	MANDARIN TRACE APTS	3960 OLD SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.715956	30.387701	WASHINGTON HEIGHTS	4229 MONCRIEF RD W		JACKSONVILLE	FL	32209				Duval	APARTMENT		
	-81.602935	30.205881	LEIGH MEADOWS APTS	4320 SUNBEAM RD		JACKSONVILLE	FL	32257				Duval	APARTMENT		
	-81.730368	30.2623	HERITAGE ON THE RIVER APTS	4375 CONFEDERATE POINT RD		JACKSONVILLE	FL	32210				Duval	APARTMENT		
