OBJECTID	LONGITUDE	LATITUDE	FACNAME	ADDRESS_1	ADDRESS_2	CITY	STATE	ZIP	AREACODE	PHONE	FIPS	COUNTY	TYPE	METHOD
561052	-76.7637218336635	39.721144565208746	Bethlehem Steltz Reformed Church	5937 Steltz Road		Glen Rock	PA	17327			42133	York	Place of Worship	ArcGIS
561122	-76.33423909208932	39.72212363596978	Delta United Methodist Church	211-215 Main Street		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561246	-76.52257819743525	39.72361820285582	Centre Presbyterian Church	20 New Park Road		New Park	PA	17352			42133	York	Place of Worship	ArcGIS
561350	-76.86549270644586	39.7250372646935	Black Rock Church Of The Brethren	4097 Glenville Road		Glenville	PA	17329			42133	York	Place of Worship	ArcGIS
561376	-76.34142271017468	39.72538819370564	Slate Ridge Cemetery	205 Line Road		Delta	PA	17314			42133	York	Cemetery	ArcGIS
561430	-76.69003361376839	39.72588090651182	Smg Artists	108-110 Glenray Court		New Freedom	PA	17349			42133	York	School	ArcGIS
561458	-76.32857819052771	39.726160002167475	Emergency Evacuation For Delta Borough & Peach	500 Main Street		Delta	PA	17314			42133	York	Hospital/Polyclinic	ArcGIS
561472	-76.32615816899666	39.7263191088155	Delta Borough	101 College Avenue		Delta	PA	17314			42133	York	Government Office	ArcGIS
561477	-76.4519409181255	39.72636815885315	Fawn United Methodist Church	50 South Market Street		Fawn Grove	PA	17321			42133	York	Place of Worship	ArcGIS
561529	-76.918339085201	39.72703273508298	St David's United Church Of Christ	72 Hobart Road		Hanover	PA	17331			42133	York	Place of Worship	ArcGIS
561581	-76.32544091811027	39.72765546344	First Baptist Church	629 Main Street		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561589	-76.45165273738608	39.727777288293574	United States Government	26-146 Highway 851		Fawn Grove	PA	17321			42133	York	Government Office	ArcGIS
561599	-76.56140817488583	39.72793634786863	Immanuel Baptist Church	20901-21131 Highway 24		Stewartstown	PA	17363			42133	York	Place of Worship	ArcGIS
561642	-76.32086999123358	39.72851270934745	Peach Bottom Township	103 Broad Street		Delta	PA	17314			42133	York	Government Office	ArcGIS
561724	-76.31995545751825	39.72966180768619	Trinity A M E Zion Church	1022-1098 Main Street		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561780	-76.31080908475948	39.730278181191885	Slateville Presbyterian Church	90 Slateville Road		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561802	-76.25025634255617	39.73054362568544	Coopers Cemetery	884-887 Orchard Road		Delta	PA	17314			42133	York	Cemetery	ArcGIS
561829	-76.31750093149813	39.73077908469533	South Eastern School District	1055-1081 Atom Road		Delta	PA	17314			42133	York	School	ArcGIS
561856	-76.34163816317114	39.7310900016806	Reter Robert Rev	6596 Delta Road		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561857	-76.34163816317114	39.7310900016806	Delta Church Of The Nazarene	6596 Delta Road		Delta	PA	17314			42133	York	Place of Worship	ArcGIS
561858	-76.34163816317114	39.7310900016806	Delta Christian Academy	6596 Delta Road		Delta	PA	17314			42133	York	School	ArcGIS
561944	-76.98290183273726	39.73196089875016	St Bartholomew's United Church Elca	1002 Grand Valley Road		Hanover	PA	17331			42133	York	Place of Worship	ArcGIS
561958	-76.46909638062044	39.73208634822264	South Eastern School District	328-398 Main Street		Fawn Grove	PA	17321			42133	York	School	ArcGIS
562003	-76.46762181974785	39.73248001949407	Kennard Dale High School	825-1375 Main Street		Fawn Grove	PA	17321			42133	York	School	ArcGIS
