OBJECTID	LONGITUDE	LATITUDE	FACNAME	ADDRESS_1	ADDRESS_2	CITY	STATE	ZIP	AREACODE	PHONE	FIPS	COUNTY	TYPE	METHOD
357291603	-86.420407	49.6070024	Hooleys Cemetery										AMENITY	OSM
357316964	-85.5743552	49.5719804	Trinity Church										AMENITY	OSM
357290836	-86.014701	49.59642	Hillside Cemetery										AMENITY	OSM
357332137	-86.14952410000001	49.5450826	Whitehall School										AMENITY	OSM
357332103	-86.1145814	49.554452000000005	Big Run School (historical)										AMENITY	OSM
357275143	-86.22033859999999	49.6220875	Alfarata Cemetery										AMENITY	OSM
357283551	-85.75185640000001	49.6102836	Dresslers Church										AMENITY	OSM
536285787	-85.6038744	49.61107690000001	Line Mountain Elementary School										AMENITY	OSM
357294269	-86.3761866	49.5239	Lake Park Church										AMENITY	OSM
1670596251	-86.3628633	49.5291554	Sheetz										AMENITY	OSM
357277520	-86.33691519999999	49.518607300000006	Black Hospital										AMENITY	OSM
357308386	-85.51250800000001	49.516181100000004	Saint Johns Church										AMENITY	OSM
357362981	-86.36412800000001	49.589480599999995	Derry Elementary School										AMENITY	OSM
1346679835	-86.35087800000001	49.56782	Highland Park Elementary School										AMENITY	OSM
1789907134	-86.3502582	49.5562742	China Garden Buffet										AMENITY	OSM
357277182	-85.85668460000001	49.5597552	Bethlehem Church										AMENITY	OSM
357302535	-85.4757091	49.497453	Oakdale Church										AMENITY	OSM
357280442	-86.4315373	49.489293499999995	Centre Union Church										AMENITY	OSM
357285318	-86.3631987	49.4827821	Fairview Church										AMENITY	OSM
2102262187	-86.14779789999999	49.476427	Nittany Minit Mart										AMENITY	OSM
357283348	-86.1192192	49.4897079	Diven Cemetery										AMENITY	OSM
357332109	-86.087987	49.4864525	Red Rock School										AMENITY	OSM
357332186	-86.22528369999999	49.446159400000006	Markee School										AMENITY	OSM
357286516	-85.60744310000001	49.4539018	Free Grace Church										AMENITY	OSM
357316915	-86.1925032	49.23318690000001	Trinity Church										AMENITY	OSM
